PARCEL_PIN,SOURCE,ZONING_DISTRICT,FUTURE_LAND_USE,SUBDIVISION_NAME
0157128116066,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116066,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116066,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128116066,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128123002,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123003,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123004,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123005,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123006,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123007,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123008,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123009,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123011,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123012,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123013,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123014,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128123015,COT,POS,Single-Family Neighborhoods,TIMBERLEAF FILING NO 1 AMD 1
0157128201034,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128201034,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 3
0157128212009,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 3
0157128212010,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128212010,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 3
0157128212011,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128212011,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 3
0157128212012,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 3
0157128212013,COT,SFD,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128212013,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 3
0157128301043,COT,SFD,"Parks, Trails, and Open Space",
0157128301044,COT,SFA,Institutional,
0157128301044,COT,SFA,Institutional,VILLAGES AT RIVERDALE FILING 2
0157128301044,COT,SFA,Institutional,VILLAGES AT RIVERDALE FILING 2
0157128301044,COT,SFA,Institutional,VILLAGES AT RIVERDALE FILING 2
0157128301044,COT,SFD,Institutional,
0157128301044,COT,SFD,Institutional,VILLAGES AT RIVERDALE FILING 2
0157128301045,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128301045,COT,SFD,"Parks, Trails, and Open Space",
0157128301045,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128301046,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128301047,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128301047,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128301047,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128301050,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 1
0157128301051,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 1
0157128301052,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 1
0157128301054,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 1
0157128303060,COT,SFA,Commercial,QUEBEC PLAZA AMD 1
0157128308016,COT,RE,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308016,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308016,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308016,COT,SFD,Estate Neighborhood,VILLAGES AT RIVERDALE FILING 2
0157128308016,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308018,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308018,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308019,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308019,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308020,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128308020,COT,RE,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308020,COT,RE,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308020,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308020,COT,SFD,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308021,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 1
0157128308071,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE F1A1
0157128308071,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE F1A1
0157128308071,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128308073,COT,SFA,Estate Neighborhood,VILLAGES AT RIVERDALE FILING 2
0157128308073,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE F1A1
0157128313039,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128313039,COT,SFD,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128313039,COT,SFD,Estate Neighborhood,VILLAGES AT RIVERDALE FILING 2
0157128313039,COT,SFD,Estate Neighborhood,VILLAGES AT RIVERDALE FILING 3
0157128401005,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128401006,COT,POS,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128401006,COT,POS,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401006,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128401006,COT,SFD,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401007,COT,POS,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128401007,COT,POS,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401008,COT,POS,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401009,COT,POS,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401011,COT,POS,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401011,COT,SFD,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401012,COT,SFD,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401013,COT,SFD,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128401014,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128401014,COT,RE,"Parks, Trails, and Open Space",TIMBERLEAF FILING NO 1 AMD 1
0157128402001,COT,SFD,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128402002,COT,SFD,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128402003,COT,SFD,Estate Neighborhood,
0157128402003,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128402003,COT,SFD,Estate Neighborhood,TIMBERLEAF FILING NO 1 AMD 1
0157128402010,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128403018,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128403019,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128403020,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 2
0157128404010,COT,SFA,Estate Neighborhood,VILLAGES AT RIVERDALE FILING 2
0157128404013,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128404014,COT,RE,"Parks, Trails, and Open Space",
0157128404014,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128404014,COT,RE,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128404014,COT,SFA,"Parks, Trails, and Open Space",VILLAGES AT RIVERDALE FILING 2
0157128404015,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405001,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405002,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405003,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405029,COT,POS,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405030,COT,POS,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405031,COT,POS,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405032,COT,POS,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405033,COT,POS,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405037,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128405037,COT,SFD,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128405038,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128405039,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 1
0157128405068,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 2
0157128405069,COT,RE,"Parks, Trails, and Open Space",GLENEAGLE ESTATES SUB AMD NO 1
0157128405074,COT,SFD,Estate Neighborhood,GLENEAGLE ESTATES SUB AMD NO 7
0157129000008,COT,POS,Commercial,
0157129000008,COT,SFD,Commercial,
0157129106020,COT,POS,Single-Family Neighborhoods,AMBER CREEK SUB F1A1
0157129201043,COT,SFA,"Parks, Trails, and Open Space",RIVERDALE PARK FILING 1
0157129201043,COT,SFD,"Parks, Trails, and Open Space",RIVERDALE PARK FILING 1
0157129201098,COT,SFD,"Parks, Trails, and Open Space",
0157129201098,COT,SFD,"Parks, Trails, and Open Space",MARSHALL LAKE
0157129205001,COT,SFD,"Parks, Trails, and Open Space",RIVERDALE PARK FILING
0157129205008,COT,NS,Single-Family Neighborhoods,MARSHALL LAKE
0157129205049,COT,NS,"Parks, Trails, and Open Space",MARSHALL LAKE
0157129205049,COT,SFD,"Parks, Trails, and Open Space",MARSHALL LAKE
0157129305051,COT,SFA,"Parks, Trails, and Open Space",RIVERDALE PARK FILING 1
0157129305051,COT,SFD,"Parks, Trails, and Open Space",RIVERDALE PARK FILING 1
0157129305051,COT,SFD,"Parks, Trails, and Open Space",RIVERDALE PARK FILING 1
0157129310025,COT,CR,Single-Family Neighborhoods,RIVERDALE PARK FILING 2
0157129310026,COT,CR,Single-Family Neighborhoods,RIVERDALE PARK FILING 2
0157129310027,COT,CR,Single-Family Neighborhoods,RIVERDALE PARK FILING 2
0157129310028,COT,CR,Single-Family Neighborhoods,RIVERDALE PARK FILING 2
0157129310040,COT,CR,"Parks, Trails, and Open Space",RIVERDALE PARK FILING 2
0157129310040,COT,SFA,"Parks, Trails, and Open Space",RIVERDALE PARK FILING 2
0157129310040,COT,SFA,"Parks, Trails, and Open Space",RIVERDALE PARK FILING 2
0157129310041,COT,SFA,Commercial,RIVERDALE PARK FILING 1
0157129401044,COT,SFD,"Parks, Trails, and Open Space",QUEBEC RIVERDALE
0157129401045,COT,POS,Single-Family Neighborhoods,QUEBEC RIVERDALE
0157129409001,COT,SFD,"Parks, Trails, and Open Space",QUEBEC RIVERDALE
0157130001003,COT,SFD,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 1
0157130004046,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 9
0157130004047,COT,SFD,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 9
0157130004048,COT,SFD,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 9
0157130004049,COT,SFD,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 9
0157130004050,COT,SFD,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 9
0157130004051,COT,SFD,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 9
0157130004052,COT,SFD,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 9
0157130004053,COT,SFD,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 9
0157130005021,COT,POS,Single-Family Neighborhoods,OLD FARM TOWNHOMES SUBDIVISION
0157130005021,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 3
0157130009018,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009019,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009022,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009023,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009029,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009030,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009031,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009032,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009032,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009033,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 4
0157130009039,COT,SFA,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 4
0157130009039,COT,SFA,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 4
0157130009039,COT,SFA,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 4
0157130009039,COT,SFA,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 4
0157130009039,COT,SFA,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 4
0157130009039,COT,SFA,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 4
0157130009039,COT,SFA,"Parks, Trails, and Open Space",WOODBRIDGE STATION FILING 7
0157130009041,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009042,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009043,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009044,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009045,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009046,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009047,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009048,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009049,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009050,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009051,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130009052,COT,POS,Single-Family Neighborhoods,WOODBRIDGE STATION FILING 7
0157130201010,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 1
0157130205019,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 2
0157130205020,COT,POS,Single-Family Neighborhoods,
0157130205020,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 2
0157130205028,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 2
0157130205029,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 2
0157130205049,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 2
0157130205077,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 1
0157130205077,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 2
0157130205077,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 3
0157130205078,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 2
0157130205078,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 3
0157130205079,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 3
0157130205080,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 3
0157130209001,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 1
0157130210002,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 1
0157130210002,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 3
0157130216039,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 4
0157130216049,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 4
0157130216053,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 4
0157130216054,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 4
0157130216055,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 4
0157130220043,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 4
0157130220043,COT,POS,Single-Family Neighborhoods,THORNTON TRAIL WINDS PARK & OS
0157130220061,COT,POS,Single-Family Neighborhoods,PARKRIDGE VILLAGES FILING 4
